index,name
251,choker
377,dog
1109,toy
64,bath_mat
378,dog_collar
1070,teddy_bear
44,banana
42,balloon
231,chair
960,sink
366,dining_table
428,fan
543,hat
697,monitor_(computer_equipment) computer_monitor
1076,television_set
1048,table-tennis_table
67,bathtub
654,speaker_(stero_equipment)
981,sofa
350,cushion
836,flowerpot
360,desk
1049,table
737,ottoman
35,suitcase
89,bench
803,pillow
76,bed
1140,vent
678,mattress
547,headboard
180,cabinet
182,cake
142,box
394,dresser
389,drawer
616,knob
1138,vase
275,coaster
473,frisbee
1007,statue_(sculpture)
411,easel
436,figurine
1017,stool
270,clock
784,pendulum
271,clock_tower
85,bell
374,dispenser
327,crib
443,fireplace
252,chopping_board
381,dollhouse
136,bow_(decorative_ribbons)
539,handle
73,beanbag
1154,wall_socket
676,mat_(gym_equipment)
1060,tape_(sticky_cloth_or_paper)
1054,tag
558,hinge
715,necktie
11,apple
109,blanket
300,sofa_bed
620,ladder
329,crossbar
916,sawhorse
646,lime
1077,tennis_ball
807,ping-pong_ball
6,almond
920,scarf
284,coffee_table
1153,wall_clock
384,doorknob
137,bow-tie
420,refrigerator
1036,surfboard
19,armoire
