index,name,id,red,green,blue
251,choker,1,94,201,221
377,dog,2,209,78,222
1109,toy,3,165,230,96
378,dog_collar,5,217,13,157
1070,teddy_bear,6,92,215,229
44,banana,7,62,126,45
42,balloon,8,192,23,22
231,chair,9,127,127,34
960,sink,10,174,110,230
366,dining_table,11,14,229,19
428,fan,12,101,91,86
543,hat,13,79,15,68
697,monitor_(computer_equipment) computer_monitor,14,242,195,249
1076,television_set,15,234,77,69
1048,table-tennis_table,16,147,112,207
67,bathtub,17,37,75,55
654,speaker_(stero_equipment),18,98,60,105
981,sofa,19,58,224,196
350,cushion,20,19,147,92
836,flowerpot,21,244,62,159
360,desk,22,210,130,17
1049,table,23,192,111,142
737,ottoman,24,12,2,199
35,suitcase,25,9,172,98
89,bench,26,69,158,229
803,pillow,27,122,128,210
76,bed,28,159,205,199
1140,vent,29,115,36,68
678,mattress,30,144,251,16
547,headboard,31,39,13,191
180,cabinet,32,255,55,57
182,cake,33,81,251,219
142,box,34,49,106,108
394,dresser,35,132,9,82
389,drawer,36,53,206,187
616,knob,37,49,86,64
1138,vase,38,225,233,21
275,coaster,39,25,237,170
473,frisbee,40,109,65,207
1007,statue_(sculpture),41,113,117,223
411,easel,42,21,112,88
436,figurine,43,141,42,107
1017,stool,44,141,71,46
270,clock,45,229,200,112
784,pendulum,46,185,92,141
271,clock_tower,47,241,248,3
85,bell,48,36,79,91
374,dispenser,49,200,148,104
327,crib,50,220,115,34
443,fireplace,51,191,33,107
252,chopping_board,52,66,165,211
381,dollhouse,53,30,161,216
136,bow_(decorative_ribbons),54,97,157,143
539,handle,55,147,74,163
73,beanbag,56,193,222,4
1154,wall_socket,57,51,135,21
1060,tape_(sticky_cloth_or_paper),59,138,108,200
1054,tag,60,133,65,87
558,hinge,61,8,159,156
715,necktie,62,172,135,115
11,apple,63,22,81,56
109,blanket,64,228,30,14
300,sofa_bed,65,40,215,138
620,ladder,66,49,22,210
329,crossbar,67,176,190,234
916,sawhorse,68,221,90,86
646,lime,69,191,241,59
1077,tennis_ball,70,69,195,5
807,ping-pong_ball,71,62,193,110
6,almond,72,15,49,101
920,scarf,73,213,183,210
284,coffee_table,74,20,182,229
1153,wall_clock,75,252,5,19
384,doorknob,76,165,47,164
137,bow-tie,77,173,52,254
1036,surfboard,79,251,151,224
19,armoire,80,54,195,52
