index,name
251,choker
377,dog
1109,toy
64,bath_mat
378,dog_collar
1070,teddy_bear
44,banana
42,balloon
231,chair
960,sink
366,dining_table
428,fan
543,hat
697,monitor_(computer_equipment) computer_monitor
1076,television_set
1048,table-tennis_table
67,bathtub
654,speaker_(stero_equipment)
981,sofa
350,cushion
836,flowerpot
360,desk
1049,table
737,ottoman
35,suitcase
89,bench
803,pillow
76,bed
1140,vent
678,mattress
547,headboard
180,cabinet
182,cake
142,box
394,dresser
389,drawer
616,knob
1138,vase
275,coaster
473,frisbee
1007,statue_(sculpture)
411,easel
436,figurine
1017,stool
270,clock
784,pendulum
271,clock_tower
85,bell
374,dispenser
327,crib
443,fireplace
252,chopping_board
381,dollhouse
136,bow_(decorative_ribbons)
539,handle
73,beanbag
1154,wall_socket
676,mat_(gym_equipment)
1060,tape_(sticky_cloth_or_paper)
1054,tag
558,hinge
715,necktie
11,apple
109,blanket
300,sofa_bed
620,ladder
329,crossbar
916,sawhorse
646,lime
1077,tennis_ball
807,ping-pong_ball
6,almond
920,scarf
284,coffee_table
1153,wall_clock
384,doorknob
137,bow-tie
420,refrigerator
1036,surfboard
19,armoire
956,shower_curtain
625,lamp
1001,spotlight
126,book
627,lampshade
278,coatrack
343,cup
124,bolt
747,painting
437,file_cabinet
194,candle_holder
132,bottle
385,doormat
60,basket
193,candle
349,curtain
369,dish_antenna
846,projector
958,signboard
834,poster
864,radiator
277,coat_hanger
995,spice_rack
644,lightbulb
1107,towel
467,footstool
138,bowl
211,card
460,flower_arrangement
707,mug
1097,toilet_tissue
896,runner_(carpet)
1096,toilet
839,pottery
573,hourglass
810,pipe
704,mouse_(computer_equipment)
188,camera
97,binoculars
931,seashell
693,mirror
1069,teapot
328,crock_pot
233,chalice
104,birthday_card
127,bookcase
746,paintbrush
1,air_conditioner
755,paper_plate
23,ashtray
533,hair_dryer
77,bedpan
897,plastic_bag
758,paperweight
1056,tambourine
128,booklet
712,napkin
817,plate
302,cookie
22,trash_can
402,duct_tape
272,clothes_hamper
826,pole
954,shower_head
863,radar
468,fork
229,cellular_telephone
65,bath_towel
206,car_(automobile)
444,fireplug
234,chandelier
802,piggy_bank
1114,train_(railroad_vehicle)
767,passenger_car_(part_of_a_train)
1071,telephone
565,hook
795,phonebook
1035,sunhat
984,sombrero
285,coffeepot
184,calendar
652,log
794,pew_(church_bench)
1101,toothbrush
306,corkboard
1132,umbrella
756,paper_towel
566,hookah
1158,washbasin
244,chinaware
323,crate
609,kitchen_table
844,printer
630,laptop_computer
632,latch
1104,cover
865,radio_receiver
81,beeper
1081,thermos_bottle
295,computer_keyboard
497,glass_(drink_container)
590,jar
181,locker
404,dumbbell
1142,videotape
198,canister
28,awning
222,cassette
1085,thumbtack
267,clipboard
1083,thimble
508,gourd
40,ball
853,pumpkin
683,melon
123,deadbolt
617,knocker_(on_a_door)
423,envelope
1082,thermostat
667,manhole
1108,towel_rack
1120,tripod
260,cistern
859,quilt
957,shredder_(for_paper)
372,dishwasher
429,faucet
286,coil
1194,wreath
1094,toaster
148,bread-bin
544,hatbox
711,nailfile
96,binder
805,pineapple
273,clothespin
535,hand_towel
146,brass_plaque
935,shark
587,ironing_board
822,plume
1189,wineglass
792,person
1051,tablecloth
498,globe
486,garlic
307,corkscrew
806,pinecone
36,bagel
816,place_mat
334,crucifix
18,armchair
345,cupboard
159,bucket
34,handbag
448,fishbowl
463,folding_chair
220,cash_register
485,gargoyle
98,bird
93,bicycle
232,chaise_longue
10,antenna
730,oil_lamp
813,pitcher_(vessel_for_liquid)
224,cat
395,drill
615,knitting_needle
1102,toothpaste
311,cornice
685,microscope
